Rama de actividad CNAE 2009;Sexo;Unidad;Fecha_inicio;Fecha_fin;Total
61 Telecomunicaciones;Hombres;Valor absoluto;2023/01/01;2023/03/31;84
61 Telecomunicaciones;Hombres;Valor absoluto;2022/10/01;2022/12/31;78
61 Telecomunicaciones;Hombres;Valor absoluto;2022/07/01;2022/09/30;84
61 Telecomunicaciones;Hombres;Valor absoluto;2022/04/01;2022/06/30;87
61 Telecomunicaciones;Hombres;Valor absoluto;2022/01/01;2022/03/31;93
61 Telecomunicaciones;Hombres;Valor absoluto;2021/10/01;2021/12/31;90
61 Telecomunicaciones;Hombres;Valor absoluto;2021/07/01;2021/09/30;92
61 Telecomunicaciones;Hombres;Valor absoluto;2021/04/01;2021/06/30;98
61 Telecomunicaciones;Hombres;Valor absoluto;2021/01/01;2021/03/31;90
61 Telecomunicaciones;Hombres;Valor absoluto;2020/10/01;2020/12/31;90
61 Telecomunicaciones;Hombres;Valor absoluto;2020/07/01;2020/09/30;92
61 Telecomunicaciones;Hombres;Valor absoluto;2020/04/01;2020/06/30;89
61 Telecomunicaciones;Hombres;Valor absoluto;2020/01/01;2020/03/31;87
61 Telecomunicaciones;Hombres;Valor absoluto;2019/10/01;2019/12/31;82
61 Telecomunicaciones;Hombres;Valor absoluto;2019/07/01;2019/09/30;75
61 Telecomunicaciones;Hombres;Valor absoluto;2019/04/01;2019/06/30;83
61 Telecomunicaciones;Hombres;Valor absoluto;2019/01/01;2019/03/31;78
61 Telecomunicaciones;Hombres;Valor absoluto;2018/10/01;2018/12/31;88
61 Telecomunicaciones;Hombres;Valor absoluto;2018/07/01;2018/09/30;86
61 Telecomunicaciones;Hombres;Valor absoluto;2018/04/01;2018/06/30;85
61 Telecomunicaciones;Hombres;Valor absoluto;2018/01/01;2018/03/31;90
61 Telecomunicaciones;Hombres;Valor absoluto;2017/10/01;2017/12/31;93
61 Telecomunicaciones;Hombres;Valor absoluto;2017/07/01;2017/09/30;97
61 Telecomunicaciones;Hombres;Valor absoluto;2017/04/01;2017/06/30;92
61 Telecomunicaciones;Hombres;Valor absoluto;2017/01/01;2017/03/31;92
61 Telecomunicaciones;Hombres;Valor absoluto;2016/10/01;2016/12/31;94
61 Telecomunicaciones;Hombres;Valor absoluto;2016/07/01;2016/09/30;90
61 Telecomunicaciones;Hombres;Valor absoluto;2016/04/01;2016/06/30;84
